permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
70536,4108,2010-12-31,66.56,121900.0,8113664.0,SIAL,SIGMA ALDRICH CORP,11,3,82655210,329,328,009699,01,826552101,0000090185,90185,SIGMA-ALDRICH CORP,,,,,
89757,44118,2010-12-31,73.75,110010.0,8113237.5,SHLD,SEARS HOLDINGS CORP,11,3,81235010,330,329,043298,01,37960A529,,<NA>,GLOBAL X DEFENSE TECH ETF,,,,,
46674,20807,2010-12-31,51.34,157535.0,8087846.9,GPC,GENUINE PARTS CO,11,1,37246010,331,330,005125,01,372460105,0000040987,40987,GENUINE PARTS CO,,,,,
88446,37938,2010-12-31,63.34,126608.0,8019350.720000001,ILMN,ILLUMINA INC,11,3,45232710,332,331,138205,01,452327109,0001110803,1110803,ILLUMINA INC,,,,,
53613,7065,2010-12-31,8.02,996800.0,7994336.0,MU,MICRON TECHNOLOGY INC,11,3,59511210,333,332,007343,01,595112103,0000723125,723125,MICRON TECHNOLOGY INC,2010-10-26,10-K,0000723125-10-000174,20101026_10-K_edgar_data_723125_0000723125-10-000174.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101026_10-K_edgar_data_723125_0000723125-10-000174.txt
92618,52990,2010-12-31,35.16,227092.0,7984554.719999999,DPS,DR PEPPER SNAPPLE GROUP INC,11,1,26138E10,334,333,179700,01,26138E109,,<NA>,DR PEPPER SNAPPLE GROUP INC,,,,,
86021,34746,2010-12-31,70.49,113186.0,7978481.14,LLL,L 3 COMMUNICATIONS HLDGS INC,11,1,50242410,335,334,<NA>,,,,,,,,,,
10909,8786,2010-12-31,94.74,83239.0,7886062.859999999,CERN,CERNER CORP,11,3,15678210,336,335,012850,01,156782104,0000804753,804753,CERNER CORP,,,,,
75100,21753,2010-12-31,62.27,126400.0,7870928.0,TIF,TIFFANY & CO NEW,11,1,88654710,337,336,013646,01,886547108,0000098246,98246,TIFFANY & CO,,,,,
16600,20906,2010-12-31,47.15,166758.0,7862639.7,HSY,HERSHEY CO,11,1,42786610,338,337,005597,01,427866108,0000047111,47111,HERSHEY CO,,,,,
10299,8220,2010-12-31,34.59,226278.0,7826956.02,LLTC,LINEAR TECHNOLOGY CORP,11,3,53567810,339,338,012216,01,535678106,0000791907,791907,LINEAR TECHNOLOGY CORP,,,,,
91143,50474,2010-12-31,29.98,261000.0,7824780.0,NYX,N Y S E EURONEXT,11,1,62949110,340,339,<NA>,,,,,,,,,,
42585,21629,2010-12-31,65.65,119056.0,7816026.4,SJM,SMUCKER J M CO,11,1,83269640,341,340,009777,01,832696405,0000091419,91419,SMUCKER (JM) CO,,,,,
91103,21793,2010-12-31,23.82,327466.0,7800240.12,UAL,UNITED CONTINENTAL HOLDINGS INC,11,1,91004710,342,341,010795,04,910047109,0000100517,100517,UNITED AIRLINES HOLDINGS INC,,,,,
64995,2535,2010-12-31,8.85,880471.0,7792168.35,KEY,KEYCORP NEW,11,1,49326710,343,342,009783,01,493267108,0000091576,91576,KEYCORP,,,,,
66384,4879,2010-12-31,33.9,229800.0,7790220.0,WDC,WESTERN DIGITAL CORP,11,1,95810210,344,343,011399,01,958102105,0000106040,106040,WESTERN DIGITAL CORP,,,,,
71175,21798,2010-12-31,24.22,317144.0,7681227.68,UNM,UNUM GROUP,11,1,91529Y10,345,344,012726,01,91529Y106,0000005513,5513,UNUM GROUP,,,,,
11674,20574,2010-12-31,45.32,169117.0,7664382.44,DTE,D T E ENERGY CO,11,1,23333110,346,345,003897,01,233331107,0000936340,936340,DTE ENERGY CO,,,,,
40125,20493,2010-12-31,49.6,154484.0,7662406.4,CSC,COMPUTER SCIENCES CORP,11,1,20536310,347,346,<NA>,,,,,,,,,,
18403,21375,2010-12-31,32.31,236596.0,7644416.760000001,JCP,PENNEY J C CO INC,11,1,70816010,348,347,<NA>,,,,,,,,,,
82196,13960,2010-12-31,19.09,399679.0,7629872.11,DNR,DENBURY RESOURCES INC,11,1,24791620,349,348,<NA>,,,,,,,,,,
