gvkey,iid,gvkeyx,from,thru,tic,cik,fdate,form,coname,fname
063172,01,000003,2021-12-20,,FDS,,,,,
064030,01,000003,2022-12-22,,STLD,,,,,
064166,01,000003,2002-12-12,,DGX,,,,,
064630,01,000003,2018-03-19,,TTWO,,,,,
064768,01,000003,2005-11-21,,AMZN,,,,,
064821,01,000003,2017-03-20,,ARE,,,,,
064891,01,000003,2007-02-02,,RL,,,,,
064925,01,000003,2006-04-03,,BXP,,,,,
065417,01,000003,1997-10-07,,YUM,,,,,
065609,01,000003,2007-03-02,,CHRW,,,,,
065772,01,000003,2016-09-06,,MTD,,,,,
066065,01,000003,2014-09-22,,URI,,,,,
066368,01,000003,2006-02-01,,VRSN,,,,,
066446,01,000003,2009-07-01,,PWR,,,,,
100243,03,000003,2019-06-12,,AMCR,,,,,
104432,01,000003,2017-10-13,,NCLH,,,,,
105365,01,000003,2007-11-19,,AMT,,,,,
110179,01,000003,2009-03-04,,VTR,,,,,
111864,01,000003,2006-11-17,,CTSH,,,,,
112111,01,000003,2022-09-19,,CSGP,,,,,
112168,01,000003,2008-12-05,,RSG,,,,,
113490,01,000003,2012-03-14,,CCI,,,,,
114524,01,000003,2002-07-22,,EBAY,,,,,
114628,01,000003,2002-07-22,,GS,,,,,
117768,01,000003,2001-11-30,,NVDA,,,,,
118122,04,000003,2012-12-24,,APTV,,,,,
119314,01,000003,2009-11-06,,BKNG,,,,,
121077,01,000003,2010-12-20,,FFIV,,,,,
121382,01,000003,2017-09-01,,SBAC,,,,,
124434,01,000003,2011-04-04,,BLK,,,,,
125595,01,000003,2007-07-12,,AKAM,,,,,
126136,03,000003,2016-09-08,,CHTR,,,,,
126296,02,000003,2007-10-02,,EXPE,,,,,
126554,01,000003,2000-06-05,,A,,,,,
126721,01,000003,2020-06-22,,TDY,,,,,
128978,01,000003,2017-07-26,,PKG,,,,,
133366,01,000003,2011-04-01,,EW,,,,,
133768,01,000003,2000-12-11,,MET,,,,,
134932,01,000003,2022-06-21,,ON,,,,,
135990,03,000003,2010-01-29,,NRG,,,,,
136725,01,000003,2008-06-02,,ISRG,,,,,
137131,01,000003,2021-05-14,,CRL,,,,,
138743,01,000003,2015-03-23,,EQIX,,,,,
139665,01,000003,2000-10-03,,MCO,,,,,
140541,01,000003,2004-09-01,,TPR,,,,,
141384,01,000003,2017-06-19,,ALGN,,,,,
141459,01,000003,2012-12-12,,GRMN,,,,,
141913,01,000003,2016-04-25,,GPN,,,,,
142953,01,000003,2007-04-02,,MDLZ,,,,,
143356,01,000003,2002-07-22,,PRU,,,,,
143357,01,000003,2011-07-06,,ACN,,,,,
144009,01,000003,2016-01-05,,WTW,,,,,
144559,01,000003,2001-08-07,,ZBH,,,,,
145046,01,000003,2002-07-25,,ELV,,,,,
145552,01,000003,2016-03-30,,CNC,,,,,
145701,01,000003,2002-07-22,,PFG,,,,,
147579,01,000003,2010-12-20,,NFLX,,,,,
148349,01,000003,2016-06-03,,TDG,,,,,
149070,01,000003,2006-08-11,,CME,,,,,
149318,01,000003,2008-11-14,,WYNN,,,,,
149337,01,000003,2008-10-22,,NDAQ,,,,,
150937,01,000003,2012-07-02,,STX,,,,,
157057,01,000003,2007-04-10,,AIZ,,,,,
157855,01,000003,2008-09-15,,CRM,,,,,
160211,02,000003,2020-05-12,,DPZ,,,,,
160225,01,000003,2008-07-18,,MA,,,,,
160329,01,000003,2006-04-03,,GOOGL,,,,,
160479,01,000003,2016-01-19,,EXR,,,,,
160888,01,000003,2021-02-12,,MPWR,,,,,
160991,01,000003,2016-05-18,,DLR,,,,,
161844,01,000003,2019-10-03,,LVS,,,,,
162129,01,000003,2011-09-26,,MOS,,,,,
162887,01,000003,2020-05-12,,DXCM,,,,,
163610,01,000003,2007-09-26,,ICE,,,,,
163946,01,000003,2008-08-27,,CF,,,,,
164296,01,000003,2010-03-01,,WBD,,,,,
164708,01,000003,2005-10-03,,AMP,,,,,
165123,01,000003,2019-08-09,,LDOS,,,,,
165746,01,000003,2019-12-23,,LYV,,,,,
165914,01,000003,2011-04-28,,CMG,,,,,
165993,01,000003,2006-11-10,,FIS,,,,,
170617,01,000003,2013-12-23,,META,,,,,
170750,01,000003,2018-12-03,,FANG,,,,,
170841,01,000003,2012-05-01,,PSX,,,,,
171007,01,000003,2019-11-21,,NOW,,,,,
175404,01,000003,2022-12-19,,FSLR,,,,,
176928,01,000003,2018-06-18,,BR,,,,,
177267,02,000003,2011-10-17,,TEL,,,,,
178507,01,000003,2018-04-04,,MSCI,,,,,
178704,01,000003,2016-04-18,,ULTA,,,,,
179437,01,000003,2016-03-04,,AWK,,,,,
179534,01,000003,2009-12-21,,V,,,,,
179621,01,000003,2008-03-31,,PM,,,,,
180652,01,000003,2015-10-08,,VRSK,,,,,
180711,01,000003,2014-05-08,,AVGO,,,,,
183377,01,000003,2018-10-11,,FTNT,,,,,
183736,01,000003,2021-03-22,,GNRC,,,,,
184500,01,000003,2017-03-01,,CBOE,,,,,
184700,01,000003,2018-06-20,,CPAY,,,,,
184725,01,000003,2021-03-22,,NXPI,,,,,
184996,01,000003,2020-12-21,,TSLA,,,,,
185532,01,000003,2022-10-12,,TRGP,,,,,
186310,01,000003,2018-01-03,,HII,,,,,
186989,01,000003,2011-07-01,,MPC,,,,,
187697,01,000003,2021-12-14,,EPAM,,,,,
189491,01,000003,2011-11-01,,XYL,,,,,
260774,01,000003,2006-11-10,,CBRE,,,,,
294524,01,000003,2012-09-05,,LYB,,,,,
316056,01,000003,2013-12-02,,ALLE,,,,,
