permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
37584,6407,2010-12-31,111.21,223993.0,24910261.53,BEN,FRANKLIN RESOURCES INC,11,1,35461310,114,113,004885,01,354613101,0000038777,38777,FRANKLIN RESOURCES INC,2010-11-16,10-K,0001193125-10-261858,20101116_10-K_edgar_data_38777_0001193125-10-261858.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101116_10-K_edgar_data_38777_0001193125-10-261858.txt
77702,11592,2010-12-31,32.13,745400.0,23949702.000000004,SBUX,STARBUCKS CORP,11,3,85524410,118,117,025434,01,855244109,0000829224,829224,STARBUCKS CORP,2010-11-22,10-K,0001193125-10-266333,20101122_10-K_edgar_data_829224_0001193125-10-266333.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101122_10-K_edgar_data_829224_0001193125-10-266333.txt
28222,20030,2010-12-31,90.95,214453.0,19504500.35,APD,AIR PRODUCTS & CHEMICALS INC,11,1,00915810,145,144,001209,01,009158106,0000002969,2969,AIR PRODUCTS & CHEMICALS INC,2010-11-23,10-K,0001193125-10-266784,20101123_10-K_edgar_data_2969_0001193125-10-266784.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101123_10-K_edgar_data_2969_0001193125-10-266784.txt
39642,20284,2010-12-31,84.52,226253.0,19122903.56,BDX,BECTON DICKINSON & CO,11,1,07588710,149,148,002111,01,075887109,0000010795,10795,BECTON DICKINSON & CO,2010-11-24,10-K,0000950123-10-108757,20101124_10-K_edgar_data_10795_0000950123-10-108757.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101124_10-K_edgar_data_10795_0000950123-10-108757.txt
14702,194,2010-12-31,14.05,1322873.0,18586365.65,AMAT,APPLIED MATERIALS INC,11,3,03822210,155,154,001704,01,038222105,0000006951,6951,APPLIED MATERIALS INC,2010-12-10,10-K,0000950123-10-112754,20101210_10-K_edgar_data_6951_0000950123-10-112754.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101210_10-K_edgar_data_6951_0000950123-10-112754.txt
87432,36364,2010-12-31,41.43,347604.0,14401233.72,A,AGILENT TECHNOLOGIES INC,11,1,00846U10,192,191,126554,01,00846U101,0001090872,1090872,AGILENT TECHNOLOGIES INC,2010-12-20,10-K,0001047469-10-010499,20101220_10-K_edgar_data_1090872_0001047469-10-010499.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101220_10-K_edgar_data_1090872_0001047469-10-010499.txt
76605,29009,2010-12-31,272.59,43792.0,11937261.28,AZO,AUTOZONE INC,11,1,05333210,230,229,023809,01,053332102,0000866787,866787,AUTOZONE INC,2010-10-25,10-K,0000950123-10-095687,20101025_10-K_edgar_data_866787_0000950123-10-095687.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101025_10-K_edgar_data_866787_0000950123-10-095687.txt
60871,282,2010-12-31,37.67,298653.0,11250258.51,ADI,ANALOG DEVICES INC,11,1,03265410,244,243,001632,01,032654105,0000006281,6281,ANALOG DEVICES INC,2010-11-22,10-K,0000950123-10-107816,20101122_10-K_edgar_data_6281_0000950123-10-107816.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101122_10-K_edgar_data_6281_0000950123-10-107816.txt
86964,16561,2010-12-31,130.16,80732.0,10508077.12,FFIV,F 5 NETWORKS INC,11,3,31561610,259,258,121077,01,315616102,0001048695,1048695,F5 INC,2010-11-23,10-K,0000950123-10-108100,20101123_10-K_edgar_data_1048695_0000950123-10-108100.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101123_10-K_edgar_data_1048695_0000950123-10-108100.txt
84381,31847,2010-12-31,71.71,142202.0,10197305.42,ROK,ROCKWELL AUTOMATION INC,11,1,77390310,263,262,009203,01,773903109,0001024478,1024478,ROCKWELL AUTOMATION,2010-11-18,10-K,0000950123-10-106922,20101118_10-K_edgar_data_1024478_0000950123-10-106922.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101118_10-K_edgar_data_1024478_0000950123-10-106922.txt
93150,43340,2010-12-31,47.1,200250.0,9431775.0,CIT,C I T GROUP INC NEW,11,1,12558180,283,282,149738,06,125581801,0001171825,1171825,CIT GROUP INC,2010-10-29,10-K-A,0000891092-10-004704,20101029_10-K-A_edgar_data_1171825_0000891092-10-004704.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101029_10-K-A_edgar_data_1171825_0000891092-10-004704.txt
89014,41688,2010-12-31,58.26,155084.0,9035193.84,COL,ROCKWELL COLLINS INC,11,1,77434110,299,298,144066,01,774341101,0001137411,1137411,ROCKWELL COLLINS,2010-11-23,10-K,0001047469-10-010012,20101123_10-K_edgar_data_1137411_0001047469-10-010012.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101123_10-K_edgar_data_1137411_0001047469-10-010012.txt
