permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank
92655,7267,2010-12-31,36.11,1099938.0,39718761.18,UNH,UNITEDHEALTH GROUP INC,11,1,91324P10,65
20626,20597,2010-12-31,34.14,1160716.0,39626844.24,DOW,DOW CHEMICAL CO,11,1,26054310,66
18729,20473,2010-12-31,80.37,482684.0,38793313.080000006,CL,COLGATE PALMOLIVE CO,11,1,19416210,67
66800,137,2010-12-31,57.62,672138.0,38728591.559999995,AIG,AMERICAN INTERNATIONAL GROUP INC,11,1,02687478,68
15579,21737,2010-12-31,32.5,1174157.0,38160102.5,TXN,TEXAS INSTRUMENTS INC,11,1,88250810,69
70332,20194,2010-12-31,76.16,495592.0,37744286.72,APC,ANADARKO PETROLEUM CORP,11,1,03251110,70
49656,20265,2010-12-31,30.2,1240454.0,37461710.8,BK,BANK OF NEW YORK MELLON CORP,11,1,06405810,71
23819,20868,2010-12-31,40.83,916960.0,37439476.8,HAL,HALLIBURTON CO,11,1,40621610,72
88668,40148,2010-12-31,69.64,536447.0,37358169.08,MON,MONSANTO CO NEW,11,1,61166W10,73
86356,16285,2010-12-31,27.83,1297710.0,36115269.3,EBAY,EBAY INC,11,3,27864210,74
19502,21881,2010-12-31,38.96,925764.0,36067765.44,WAG,WALGREEN CO,11,1,93142210,75
77418,11412,2010-12-31,32.17,1109297.0,35686084.49,TWX,TIME WARNER INC NEW,11,1,88731730,76
19350,20566,2010-12-31,83.05,422711.0,35106148.55,DE,DEERE & CO,11,1,24419910,77
92611,52983,2010-12-31,70.38,496799.0,34964713.62,V,VISA INC,11,1,92826C83,78
61399,2709,2010-12-31,25.08,1380004.0,34610500.32,LOW,LOWES COMPANIES INC,11,1,54866110,79
90386,45695,2010-12-31,76.36,445654.0,34030139.44,MOS,MOSAIC CO,11,1,61945A10,80
87137,35222,2010-12-31,78.51,431900.0,33908469.0,DVN,DEVON ENERGY CORP NEW,11,1,25179M10,81
57665,3194,2010-12-31,85.42,387883.0,33132965.86,NKE,NIKE INC,11,1,65410610,82
89954,44708,2010-12-31,39.93,808447.0,32281288.71,DTV,DIRECTV,11,3,25490A10,83
60442,3685,2010-12-31,60.72,525796.0,31926333.12,PNC,P N C FINANCIAL SERVICES GRP INC,11,1,69347510,84
18411,21640,2010-12-31,38.23,830706.0,31757890.38,SO,SOUTHERN CO,11,1,84258710,85
87055,7882,2010-12-31,72.21,436525.0,31521470.249999996,COST,COSTCO WHOLESALE CORP NEW,11,3,22160K10,86
90505,46024,2010-12-31,45.95,684730.0,31463343.500000004,LVS,LAS VEGAS SANDS CORP,11,1,51783410,87
49680,20557,2010-12-31,47.17,653954.0,30847010.18,DHR,DANAHER CORP,11,1,23585110,88
22293,20523,2010-12-31,19.32,1562879.0,30194822.28,GLW,CORNING INC,11,1,21935010,89
