file_name,file_path,filing_date,form_type,cik,accession_number
20101112_10-K-A_edgar_data_1374567_0001144204-10-059890.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1374567_0001144204-10-059890.txt,20101112,10-K-A,1374567,0001144204-10-059890
20101112_10-K-A_edgar_data_1383571_0001144204-10-059723.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1383571_0001144204-10-059723.txt,20101112,10-K-A,1383571,0001144204-10-059723
20101112_10-K-A_edgar_data_1395695_0001395695-10-000009.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1395695_0001395695-10-000009.txt,20101112,10-K-A,1395695,0001395695-10-000009
20101112_10-K-A_edgar_data_1423243_0001144204-10-059305.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1423243_0001144204-10-059305.txt,20101112,10-K-A,1423243,0001144204-10-059305
20101112_10-K-A_edgar_data_1423325_0001387131-10-001222.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1423325_0001387131-10-001222.txt,20101112,10-K-A,1423325,0001387131-10-001222
20101112_10-K-A_edgar_data_22701_0000897101-10-002246.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_22701_0000897101-10-002246.txt,20101112,10-K-A,22701,0000897101-10-002246
20101112_10-K-A_edgar_data_78311_0001010549-10-000694.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_78311_0001010549-10-000694.txt,20101112,10-K-A,78311,0001010549-10-000694
20101112_10-K-A_edgar_data_820907_0000950123-10-105017.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_820907_0000950123-10-105017.txt,20101112,10-K-A,820907,0000950123-10-105017
20101112_10-K-A_edgar_data_8504_0001144204-10-059860.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_8504_0001144204-10-059860.txt,20101112,10-K-A,8504,0001144204-10-059860
20101112_10-KT_edgar_data_1339947_0001193125-10-257767.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-KT_edgar_data_1339947_0001193125-10-257767.txt,20101112,10-KT,1339947,0001193125-10-257767
20101112_10-K_edgar_data_1072248_0001144204-10-059938.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1072248_0001144204-10-059938.txt,20101112,10-K,1072248,0001144204-10-059938
20101112_10-K_edgar_data_1126411_0001049107-10-000052.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1126411_0001049107-10-000052.txt,20101112,10-K,1126411,0001049107-10-000052
20101112_10-K_edgar_data_1375483_0001165527-10-000835.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1375483_0001165527-10-000835.txt,20101112,10-K,1375483,0001165527-10-000835
20101112_10-K_edgar_data_1386936_0001078782-10-002522.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1386936_0001078782-10-002522.txt,20101112,10-K,1386936,0001078782-10-002522
20101112_10-K_edgar_data_1416090_0001144204-10-059383.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1416090_0001144204-10-059383.txt,20101112,10-K,1416090,0001144204-10-059383
20101112_10-K_edgar_data_1424864_0001273511-10-000210.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1424864_0001273511-10-000210.txt,20101112,10-K,1424864,0001273511-10-000210
20101112_10-K_edgar_data_1439264_0001354488-10-003493.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1439264_0001354488-10-003493.txt,20101112,10-K,1439264,0001354488-10-003493
20101112_10-K_edgar_data_1445188_0001213900-10-004602.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1445188_0001213900-10-004602.txt,20101112,10-K,1445188,0001213900-10-004602
